Ten vat tu,Loai,Don vi,So luong,Don gia,Nguong canh bao,Ghi chu
Vat tu 382,Tam thep,tan,60.97,68581,5,Ghi chu 382
Vat tu 383,Vat tu tieu hao,cuon,207.94,62147,5,Ghi chu 383
Vat tu 384,Thep hop,kg,65.80,70226,5,Ghi chu 384
Vat tu 385,Thep hinh,tan,39.43,53588,5,Ghi chu 385
Vat tu 386,Vat tu tieu hao,tam,238.98,65295,5,Ghi chu 386
Vat tu 387,Tam thep,met,326.39,62801,5,Ghi chu 387
Vat tu 388,Bu long - Oc vit,cai,186.74,65130,5,Ghi chu 388
Vat tu 389,Dam thep,kg,140.69,57588,5,Ghi chu 389
Vat tu 390,Thep hinh,tan,193.61,54305,5,Ghi chu 390
Vat tu 391,Thep hop,tam,49.78,65575,5,Ghi chu 391
Vat tu 392,Vat tu tieu hao,tan,273.47,61299,5,Ghi chu 392
Vat tu 393,Bu long - Oc vit,cuon,179.82,66441,5,Ghi chu 393
Vat tu 394,Dam thep,met,151.40,80455,5,Ghi chu 394
Vat tu 395,Dam thep,kg,235.09,61510,5,Ghi chu 395
Vat tu 396,Tam thep,tan,248.07,81792,5,Ghi chu 396
Vat tu 397,Tam thep,kg,217.11,60691,5,Ghi chu 397
Vat tu 398,Dam thep,cuon,142.70,82686,5,Ghi chu 398
Vat tu 399,Ong thep,kg,18.56,82388,5,Ghi chu 399
Vat tu 400,Tam thep,cai,299.39,57821,5,Ghi chu 400
Vat tu 401,Tam thep,met,253.53,55606,5,Ghi chu 401
Vat tu 402,Ong thep,tam,58.10,54586,5,Ghi chu 402
Vat tu 403,Dam thep,tam,228.15,65105,5,Ghi chu 403
Vat tu 404,Dam thep,tan,165.56,56266,5,Ghi chu 404
Vat tu 405,Dam thep,cuon,301.34,82546,5,Ghi chu 405
Vat tu 406,Thep hinh,met,121.50,60632,5,Ghi chu 406
Vat tu 407,Tam thep,tam,311.75,78186,5,Ghi chu 407
Vat tu 408,Thep hinh,thung,315.35,68413,5,Ghi chu 408
Vat tu 409,Bu long - Oc vit,cai,53.10,66202,5,Ghi chu 409
Vat tu 410,Ong thep,thung,91.84,70792,5,Ghi chu 410
Vat tu 411,Dam thep,kg,136.26,68343,5,Ghi chu 411
Vat tu 412,Thep hop,met,278.96,77893,5,Ghi chu 412
Vat tu 413,Thep hop,kg,200.06,80421,5,Ghi chu 413
Vat tu 414,Thep hinh,met,234.67,77578,5,Ghi chu 414
Vat tu 415,Thep hop,cuon,90.74,63330,5,Ghi chu 415
Vat tu 416,Thep goc,cai,170.71,62980,5,Ghi chu 416
Vat tu 417,Vat tu tieu hao,tam,221.55,82086,5,Ghi chu 417
Vat tu 418,Thep goc,cuon,72.25,80581,5,Ghi chu 418
Vat tu 419,Ong thep,thung,155.81,76536,5,Ghi chu 419
Vat tu 420,Thep hop,cai,257.23,67957,5,Ghi chu 420
Vat tu 421,Ong thep,kg,236.78,76161,5,Ghi chu 421
Vat tu 422,Tam thep,met,87.48,60952,5,Ghi chu 422
Vat tu 423,Tam thep,tam,11.23,51170,5,Ghi chu 423
Vat tu 424,Thep hinh,tan,133.17,54668,5,Ghi chu 424
Vat tu 425,Dam thep,cai,102.81,81853,5,Ghi chu 425
Vat tu 426,Thep goc,cai,175.47,76163,5,Ghi chu 426
Vat tu 427,Thep goc,kg,44.56,81800,5,Ghi chu 427
Vat tu 428,Thep hinh,kg,91.93,71939,5,Ghi chu 428
Vat tu 429,Thep hinh,met,61.59,51580,5,Ghi chu 429
Vat tu 430,Thep hop,tan,143.67,78959,5,Ghi chu 430
Vat tu 431,Vat tu tieu hao,tam,277.66,61023,5,Ghi chu 431
Vat tu 432,Thep hinh,tan,91.07,71986,5,Ghi chu 432
Vat tu 433,Thep goc,met,125.88,59045,5,Ghi chu 433
Vat tu 434,Thep hinh,thung,239.21,62304,5,Ghi chu 434
Vat tu 435,Dam thep,thung,144.66,79069,5,Ghi chu 435
Vat tu 436,Vat tu tieu hao,kg,189.26,75534,5,Ghi chu 436
Vat tu 437,Thep hop,cuon,65.91,55262,5,Ghi chu 437
Vat tu 438,Ong thep,tan,157.43,66693,5,Ghi chu 438
Vat tu 439,Dam thep,tam,311.75,63774,5,Ghi chu 439
Vat tu 440,Thep hop,kg,62.85,80114,5,Ghi chu 440
Vat tu 441,Dam thep,thung,224.70,72384,5,Ghi chu 441
Vat tu 442,Ong thep,thung,247.20,64272,5,Ghi chu 442
Vat tu 443,Thep hop,kg,194.91,65587,5,Ghi chu 443
Vat tu 444,Thep goc,cuon,286.01,55752,5,Ghi chu 444
Vat tu 445,Thep hinh,tan,287.90,78756,5,Ghi chu 445
Vat tu 446,Thep hinh,met,89.60,69747,5,Ghi chu 446
Vat tu 447,Thep hinh,met,51.40,72623,5,Ghi chu 447
Vat tu 448,Vat tu tieu hao,met,47.60,67713,5,Ghi chu 448
Vat tu 449,Bu long - Oc vit,met,191.07,73337,5,Ghi chu 449
Vat tu 450,Vat tu tieu hao,cuon,153.84,81466,5,Ghi chu 450
Vat tu 451,Bu long - Oc vit,tan,275.75,60885,5,Ghi chu 451
Vat tu 452,Vat tu tieu hao,tam,26.73,77764,5,Ghi chu 452
Vat tu 453,Tam thep,thung,261.20,81326,5,Ghi chu 453
Vat tu 454,Thep hinh,cuon,77.04,64367,5,Ghi chu 454
Vat tu 455,Thep goc,met,155.41,70644,5,Ghi chu 455
Vat tu 456,Bu long - Oc vit,thung,266.10,53196,5,Ghi chu 456
Vat tu 457,Bu long - Oc vit,cai,273.08,66473,5,Ghi chu 457
Vat tu 458,Ong thep,met,182.58,57101,5,Ghi chu 458
Vat tu 459,Thep hop,cai,55.53,71553,5,Ghi chu 459
Vat tu 460,Dam thep,tan,95.53,53535,5,Ghi chu 460
Vat tu 461,Vat tu tieu hao,kg,50.95,55444,5,Ghi chu 461
Vat tu 462,Ong thep,cuon,199.76,81544,5,Ghi chu 462
Vat tu 463,Thep hinh,thung,216.59,69359,5,Ghi chu 463
Vat tu 464,Bu long - Oc vit,cuon,316.34,67561,5,Ghi chu 464
Vat tu 465,Ong thep,cai,15.26,71514,5,Ghi chu 465
Vat tu 466,Thep goc,met,283.04,58744,5,Ghi chu 466
Vat tu 467,Thep goc,kg,17.54,68944,5,Ghi chu 467
Vat tu 468,Bu long - Oc vit,tam,42.79,61233,5,Ghi chu 468
Vat tu 469,Thep hinh,tam,10.15,76792,5,Ghi chu 469
Vat tu 470,Thep hinh,kg,266.97,82697,5,Ghi chu 470
Vat tu 471,Thep hop,thung,296.26,79742,5,Ghi chu 471
Vat tu 472,Bu long - Oc vit,cuon,323.11,50841,5,Ghi chu 472
Vat tu 473,Tam thep,tam,266.26,60476,5,Ghi chu 473
Vat tu 474,Vat tu tieu hao,kg,273.95,50837,5,Ghi chu 474
Vat tu 475,Vat tu tieu hao,tan,311.32,51046,5,Ghi chu 475
Vat tu 476,Thep hinh,cai,31.34,52881,5,Ghi chu 476
Vat tu 477,Vat tu tieu hao,met,260.50,68134,5,Ghi chu 477
Vat tu 478,Thep hop,met,107.03,64809,5,Ghi chu 478
Vat tu 479,Thep hinh,kg,150.84,67822,5,Ghi chu 479
Vat tu 480,Vat tu tieu hao,kg,219.56,62548,5,Ghi chu 480
Vat tu 481,Vat tu tieu hao,thung,60.05,65492,5,Ghi chu 481
Vat tu 482,Thep goc,kg,83.99,76457,5,Ghi chu 482
Vat tu 483,Bu long - Oc vit,met,300.10,75832,5,Ghi chu 483
Vat tu 484,Dam thep,cai,292.77,77314,5,Ghi chu 484
Vat tu 485,Vat tu tieu hao,kg,51.58,55001,5,Ghi chu 485
Vat tu 486,Tam thep,tam,247.76,68115,5,Ghi chu 486
Vat tu 487,Bu long - Oc vit,tan,44.81,55115,5,Ghi chu 487
Vat tu 488,Tam thep,tan,172.33,51036,5,Ghi chu 488
Vat tu 489,Vat tu tieu hao,cai,177.79,51464,5,Ghi chu 489
Vat tu 490,Thep hop,tam,65.61,57044,5,Ghi chu 490
Vat tu 491,Dam thep,cai,99.30,63444,5,Ghi chu 491
Vat tu 492,Thep hinh,kg,230.88,54665,5,Ghi chu 492
Vat tu 493,Dam thep,thung,125.99,51354,5,Ghi chu 493
Vat tu 494,Thep hinh,tam,6.38,54736,5,Ghi chu 494
Vat tu 495,Thep hinh,tan,261.42,79441,5,Ghi chu 495
Vat tu 496,Thep goc,met,305.95,60999,5,Ghi chu 496
Vat tu 497,Bu long - Oc vit,kg,155.15,50627,5,Ghi chu 497
Vat tu 498,Thep hinh,cai,295.83,53501,5,Ghi chu 498
Vat tu 499,Thep goc,tan,120.03,77967,5,Ghi chu 499
Vat tu 500,Thep hop,kg,241.31,76743,5,Ghi chu 500
Vat tu 501,Ong thep,tam,26.03,54096,5,Ghi chu 501
Vat tu 502,Bu long - Oc vit,met,70.95,59647,5,Ghi chu 502
Vat tu 503,Ong thep,met,295.30,77888,5,Ghi chu 503
Vat tu 504,Dam thep,tam,319.49,78643,5,Ghi chu 504
Vat tu 505,Ong thep,met,51.99,72164,5,Ghi chu 505
Vat tu 506,Thep goc,kg,77.64,65358,5,Ghi chu 506
Vat tu 507,Bu long - Oc vit,met,221.33,74788,5,Ghi chu 507
Vat tu 508,Ong thep,thung,259.90,81507,5,Ghi chu 508
Vat tu 509,Thep hinh,tam,117.40,52270,5,Ghi chu 509
Vat tu 510,Dam thep,cai,37.03,63889,5,Ghi chu 510
Vat tu 511,Thep goc,cai,251.12,79868,5,Ghi chu 511
Vat tu 512,Vat tu tieu hao,tam,210.42,74405,5,Ghi chu 512
Vat tu 513,Bu long - Oc vit,tan,192.50,81939,5,Ghi chu 513
Vat tu 514,Ong thep,thung,117.98,67032,5,Ghi chu 514
Vat tu 515,Thep goc,cai,222.34,73739,5,Ghi chu 515
Vat tu 516,Thep hinh,tam,31.24,74623,5,Ghi chu 516
Vat tu 517,Bu long - Oc vit,thung,315.64,72874,5,Ghi chu 517
Vat tu 518,Thep hop,kg,205.87,81940,5,Ghi chu 518
Vat tu 519,Dam thep,kg,246.39,75286,5,Ghi chu 519
Vat tu 520,Tam thep,tam,144.21,82672,5,Ghi chu 520
Vat tu 521,Ong thep,cai,200.68,60123,5,Ghi chu 521
Vat tu 522,Thep goc,met,8.83,62400,5,Ghi chu 522
Vat tu 523,Thep goc,kg,89.31,57982,5,Ghi chu 523
Vat tu 524,Tam thep,thung,62.27,80699,5,Ghi chu 524
Vat tu 525,Thep goc,met,272.18,58198,5,Ghi chu 525
Vat tu 526,Dam thep,cai,319.70,70412,5,Ghi chu 526
Vat tu 527,Tam thep,thung,233.78,76041,5,Ghi chu 527
Vat tu 528,Thep hop,thung,164.84,79844,5,Ghi chu 528
Vat tu 529,Thep hop,met,281.05,58885,5,Ghi chu 529
Vat tu 530,Bu long - Oc vit,met,272.51,51117,5,Ghi chu 530
Vat tu 531,Thep hinh,cai,25.41,51519,5,Ghi chu 531
Vat tu 532,Thep hop,met,169.06,71187,5,Ghi chu 532
Vat tu 533,Ong thep,tam,179.17,70028,5,Ghi chu 533
Vat tu 534,Thep hop,tam,304.86,50724,5,Ghi chu 534
Vat tu 535,Ong thep,kg,202.19,54420,5,Ghi chu 535
Vat tu 536,Thep hinh,met,37.28,59337,5,Ghi chu 536
Vat tu 537,Bu long - Oc vit,cai,197.01,56689,5,Ghi chu 537
Vat tu 538,Thep goc,kg,305.27,61510,5,Ghi chu 538
Vat tu 539,Thep goc,kg,294.36,65075,5,Ghi chu 539
Vat tu 540,Thep hop,met,138.92,52110,5,Ghi chu 540
Vat tu 541,Thep hop,thung,242.30,81499,5,Ghi chu 541
Vat tu 542,Tam thep,cuon,277.37,64548,5,Ghi chu 542
Vat tu 543,Thep hinh,cuon,164.13,74392,5,Ghi chu 543
Vat tu 544,Bu long - Oc vit,tam,213.87,52467,5,Ghi chu 544
Vat tu 545,Thep hop,kg,111.59,75106,5,Ghi chu 545
Vat tu 546,Bu long - Oc vit,thung,287.83,53936,5,Ghi chu 546
Vat tu 547,Thep goc,thung,45.92,78717,5,Ghi chu 547
Vat tu 548,Bu long - Oc vit,cuon,173.01,58930,5,Ghi chu 548
Vat tu 549,Thep hop,tan,27.01,76904,5,Ghi chu 549
Vat tu 550,Ong thep,tan,68.11,75237,5,Ghi chu 550
Vat tu 551,Thep hinh,tan,106.14,63921,5,Ghi chu 551
Vat tu 552,Vat tu tieu hao,cuon,286.70,61281,5,Ghi chu 552
Vat tu 553,Bu long - Oc vit,tan,54.91,72166,5,Ghi chu 553
Vat tu 554,Ong thep,thung,64.89,69235,5,Ghi chu 554
Vat tu 555,Thep hop,tan,318.31,70628,5,Ghi chu 555
Vat tu 556,Bu long - Oc vit,tan,247.01,62733,5,Ghi chu 556
Vat tu 557,Dam thep,thung,143.35,74203,5,Ghi chu 557
Vat tu 558,Thep hop,cai,258.37,51555,5,Ghi chu 558
Vat tu 559,Dam thep,met,98.48,61812,5,Ghi chu 559
Vat tu 560,Thep goc,tam,270.16,70049,5,Ghi chu 560
Vat tu 561,Vat tu tieu hao,tan,283.64,62688,5,Ghi chu 561
Vat tu 562,Dam thep,cai,288.76,79788,5,Ghi chu 562
Vat tu 563,Ong thep,tan,44.49,59276,5,Ghi chu 563
Vat tu 564,Ong thep,cai,224.22,81651,5,Ghi chu 564
Vat tu 565,Vat tu tieu hao,kg,52.99,76495,5,Ghi chu 565
Vat tu 566,Thep hop,cuon,102.84,66536,5,Ghi chu 566
Vat tu 567,Dam thep,cuon,29.31,75774,5,Ghi chu 567
Vat tu 568,Thep hinh,tan,70.59,72192,5,Ghi chu 568
Vat tu 569,Bu long - Oc vit,tam,159.17,62378,5,Ghi chu 569
Vat tu 570,Thep goc,tam,296.32,66922,5,Ghi chu 570
Vat tu 571,Ong thep,cuon,242.63,67541,5,Ghi chu 571
Vat tu 572,Thep goc,tam,125.33,81929,5,Ghi chu 572
Vat tu 573,Dam thep,met,262.10,73039,5,Ghi chu 573
Vat tu 574,Tam thep,thung,145.33,54590,5,Ghi chu 574
Vat tu 575,Ong thep,thung,12.58,60231,5,Ghi chu 575
Vat tu 576,Thep hinh,thung,186.06,81474,5,Ghi chu 576
Vat tu 577,Vat tu tieu hao,kg,316.34,76037,5,Ghi chu 577
Vat tu 578,Tam thep,kg,256.71,50471,5,Ghi chu 578
Vat tu 579,Dam thep,kg,277.41,65917,5,Ghi chu 579
Vat tu 580,Vat tu tieu hao,thung,151.31,81953,5,Ghi chu 580
Vat tu 581,Thep goc,met,287.70,53403,5,Ghi chu 581
Vat tu 582,Bu long - Oc vit,thung,26.25,56882,5,Ghi chu 582
Vat tu 583,Tam thep,thung,126.23,60991,5,Ghi chu 583
Vat tu 584,Thep hinh,cai,244.36,67970,5,Ghi chu 584
Vat tu 585,Dam thep,met,37.24,65858,5,Ghi chu 585
Vat tu 586,Dam thep,tan,167.81,56410,5,Ghi chu 586
Vat tu 587,Thep hop,kg,115.36,53410,5,Ghi chu 587
Vat tu 588,Ong thep,tam,186.32,72564,5,Ghi chu 588
Vat tu 589,Thep goc,tam,67.02,72633,5,Ghi chu 589
Vat tu 590,Ong thep,cai,220.98,69685,5,Ghi chu 590
Vat tu 591,Thep hinh,met,7.89,73470,5,Ghi chu 591
Vat tu 592,Thep goc,kg,310.78,82389,5,Ghi chu 592
Vat tu 593,Ong thep,cuon,317.07,74167,5,Ghi chu 593
Vat tu 594,Tam thep,tam,260.06,78730,5,Ghi chu 594
Vat tu 595,Thep hop,cai,279.33,64030,5,Ghi chu 595
Vat tu 596,Tam thep,tan,81.59,57258,5,Ghi chu 596
Vat tu 597,Dam thep,met,27.03,75091,5,Ghi chu 597
Vat tu 598,Vat tu tieu hao,tam,210.25,76905,5,Ghi chu 598
Vat tu 599,Dam thep,met,281.22,66506,5,Ghi chu 599
Vat tu 600,Vat tu tieu hao,met,271.86,66446,5,Ghi chu 600
Vat tu 601,Bu long - Oc vit,cuon,126.51,68918,5,Ghi chu 601
Vat tu 602,Thep goc,cai,182.53,77872,5,Ghi chu 602
Vat tu 603,Vat tu tieu hao,kg,210.12,59614,5,Ghi chu 603
Vat tu 604,Tam thep,cuon,234.33,68502,5,Ghi chu 604
Vat tu 605,Thep hop,tan,77.12,80012,5,Ghi chu 605
Vat tu 606,Ong thep,tam,259.23,69244,5,Ghi chu 606
Vat tu 607,Thep hinh,tam,197.90,73978,5,Ghi chu 607
Vat tu 608,Thep hinh,tan,245.73,72436,5,Ghi chu 608
Vat tu 609,Bu long - Oc vit,tan,223.43,65823,5,Ghi chu 609
Vat tu 610,Vat tu tieu hao,kg,14.26,80339,5,Ghi chu 610
Vat tu 611,Thep goc,thung,22.40,78775,5,Ghi chu 611
Vat tu 612,Tam thep,kg,132.09,74448,5,Ghi chu 612
Vat tu 613,Thep hinh,cai,180.76,80267,5,Ghi chu 613
Vat tu 614,Dam thep,thung,198.71,62395,5,Ghi chu 614
Vat tu 615,Thep goc,thung,87.35,82178,5,Ghi chu 615
Vat tu 616,Thep goc,cuon,1.64,65779,5,Ghi chu 616
Vat tu 617,Thep hinh,kg,17.48,71180,5,Ghi chu 617
Vat tu 618,Thep goc,cuon,22.77,54597,5,Ghi chu 618
Vat tu 619,Ong thep,tam,208.65,62768,5,Ghi chu 619
Vat tu 620,Dam thep,tan,316.83,70997,5,Ghi chu 620
Vat tu 621,Thep hop,tan,255.55,72975,5,Ghi chu 621
Vat tu 622,Thep hinh,thung,49.96,66901,5,Ghi chu 622
Vat tu 623,Thep goc,tan,298.91,65291,5,Ghi chu 623
Vat tu 624,Vat tu tieu hao,thung,122.51,60696,5,Ghi chu 624
Vat tu 625,Tam thep,tam,310.93,66729,5,Ghi chu 625
Vat tu 626,Tam thep,cai,58.69,68496,5,Ghi chu 626
Vat tu 627,Thep hop,met,26.88,52039,5,Ghi chu 627
Vat tu 628,Thep hinh,cai,246.00,61078,5,Ghi chu 628
Vat tu 629,Vat tu tieu hao,tan,126.42,61806,5,Ghi chu 629
Vat tu 630,Vat tu tieu hao,cuon,156.92,55894,5,Ghi chu 630
Vat tu 631,Thep hinh,met,186.15,68463,5,Ghi chu 631
Vat tu 632,Dam thep,cai,35.10,59756,5,Ghi chu 632
Vat tu 633,Thep goc,kg,166.71,73109,5,Ghi chu 633
Vat tu 634,Thep hop,met,300.86,62445,5,Ghi chu 634
Vat tu 635,Dam thep,thung,243.39,69832,5,Ghi chu 635
Vat tu 636,Thep hinh,thung,272.80,59208,5,Ghi chu 636
Vat tu 637,Thep goc,cuon,20.08,60349,5,Ghi chu 637
Vat tu 638,Thep goc,thung,147.50,66030,5,Ghi chu 638
Vat tu 639,Thep hop,cai,32.68,81712,5,Ghi chu 639
Vat tu 640,Tam thep,met,287.07,71053,5,Ghi chu 640
Vat tu 641,Ong thep,thung,15.03,50029,5,Ghi chu 641
Vat tu 642,Tam thep,tam,121.20,71853,5,Ghi chu 642
Vat tu 643,Dam thep,met,119.64,63836,5,Ghi chu 643
Vat tu 644,Ong thep,met,95.17,76643,5,Ghi chu 644
Vat tu 645,Thep goc,met,14.68,63495,5,Ghi chu 645
Vat tu 646,Dam thep,cai,171.23,71949,5,Ghi chu 646
Vat tu 647,Thep hinh,met,197.47,79132,5,Ghi chu 647
Vat tu 648,Ong thep,met,214.54,67272,5,Ghi chu 648
Vat tu 649,Bu long - Oc vit,tan,265.72,76240,5,Ghi chu 649
Vat tu 650,Bu long - Oc vit,tan,96.64,68621,5,Ghi chu 650
Vat tu 651,Thep hinh,cuon,249.44,64041,5,Ghi chu 651
Vat tu 652,Thep hinh,tam,158.18,56218,5,Ghi chu 652
Vat tu 653,Dam thep,cuon,23.04,67476,5,Ghi chu 653
Vat tu 654,Thep hop,thung,103.86,74008,5,Ghi chu 654
Vat tu 655,Dam thep,kg,213.04,50065,5,Ghi chu 655
Vat tu 656,Vat tu tieu hao,tam,164.81,58657,5,Ghi chu 656
Vat tu 657,Bu long - Oc vit,kg,8.32,66833,5,Ghi chu 657
Vat tu 658,Thep goc,cuon,18.44,67104,5,Ghi chu 658
Vat tu 659,Vat tu tieu hao,tam,78.35,53837,5,Ghi chu 659
Vat tu 660,Vat tu tieu hao,tan,97.32,54338,5,Ghi chu 660
Vat tu 661,Thep goc,tan,13.52,73723,5,Ghi chu 661
Vat tu 662,Dam thep,tan,260.31,70803,5,Ghi chu 662
Vat tu 663,Thep goc,tam,90.86,61295,5,Ghi chu 663
Vat tu 664,Dam thep,cai,134.83,67124,5,Ghi chu 664
Vat tu 665,Vat tu tieu hao,tam,47.07,82355,5,Ghi chu 665
Vat tu 666,Ong thep,thung,60.79,57522,5,Ghi chu 666
Vat tu 667,Thep hop,cuon,264.27,82334,5,Ghi chu 667
Vat tu 668,Bu long - Oc vit,cai,28.66,65899,5,Ghi chu 668
Vat tu 669,Tam thep,thung,160.99,53596,5,Ghi chu 669
Vat tu 670,Thep hinh,cai,50.92,66786,5,Ghi chu 670
Vat tu 671,Ong thep,kg,264.31,58878,5,Ghi chu 671
Vat tu 672,Thep hop,kg,167.30,80214,5,Ghi chu 672
Vat tu 673,Ong thep,met,283.05,63820,5,Ghi chu 673
Vat tu 674,Thep hop,met,259.96,66147,5,Ghi chu 674
Vat tu 675,Dam thep,met,107.42,74554,5,Ghi chu 675
Vat tu 676,Thep goc,cai,212.37,51757,5,Ghi chu 676
Vat tu 677,Vat tu tieu hao,tan,158.37,50456,5,Ghi chu 677
Vat tu 678,Thep goc,cai,63.39,72141,5,Ghi chu 678
Vat tu 679,Thep hop,kg,159.49,50419,5,Ghi chu 679
Vat tu 680,Bu long - Oc vit,met,157.72,78809,5,Ghi chu 680
Vat tu 681,Dam thep,tan,281.55,67909,5,Ghi chu 681
Vat tu 682,Thep hinh,thung,57.41,79389,5,Ghi chu 682
Vat tu 683,Dam thep,tam,24.55,54146,5,Ghi chu 683
Vat tu 684,Vat tu tieu hao,cai,279.12,59089,5,Ghi chu 684
Vat tu 685,Thep hop,kg,101.05,54980,5,Ghi chu 685
Vat tu 686,Tam thep,tam,120.12,63729,5,Ghi chu 686
Vat tu 687,Thep goc,cai,247.49,61696,5,Ghi chu 687
Vat tu 688,Bu long - Oc vit,tan,218.22,50942,5,Ghi chu 688
Vat tu 689,Dam thep,cai,61.33,51557,5,Ghi chu 689
Vat tu 690,Ong thep,cuon,214.05,61332,5,Ghi chu 690
Vat tu 691,Tam thep,met,214.67,82629,5,Ghi chu 691
Vat tu 692,Thep goc,tam,215.87,68754,5,Ghi chu 692
Vat tu 693,Tam thep,cuon,56.22,71464,5,Ghi chu 693
Vat tu 694,Thep goc,thung,132.31,57811,5,Ghi chu 694
Vat tu 695,Vat tu tieu hao,tam,210.59,72281,5,Ghi chu 695
Vat tu 696,Thep hop,thung,320.56,76382,5,Ghi chu 696
Vat tu 697,Tam thep,cuon,198.75,55869,5,Ghi chu 697
Vat tu 698,Ong thep,tan,46.09,73599,5,Ghi chu 698
Vat tu 699,Bu long - Oc vit,tan,324.17,60514,5,Ghi chu 699
Vat tu 700,Thep hinh,thung,147.03,63689,5,Ghi chu 700
Vat tu 701,Thep hop,tam,110.00,63428,5,Ghi chu 701
Vat tu 702,Vat tu tieu hao,thung,286.21,72109,5,Ghi chu 702
Vat tu 703,Ong thep,tan,206.00,76795,5,Ghi chu 703
Vat tu 704,Ong thep,kg,201.22,75567,5,Ghi chu 704
Vat tu 705,Thep goc,thung,31.34,64217,5,Ghi chu 705
Vat tu 706,Thep hinh,tam,102.30,76988,5,Ghi chu 706
Vat tu 707,Thep hop,cuon,316.42,64328,5,Ghi chu 707
Vat tu 708,Thep hinh,met,113.71,82416,5,Ghi chu 708
Vat tu 709,Bu long - Oc vit,tan,299.96,71022,5,Ghi chu 709
Vat tu 710,Thep hop,kg,65.24,62582,5,Ghi chu 710
Vat tu 711,Dam thep,kg,241.03,75897,5,Ghi chu 711
Vat tu 712,Thep goc,kg,121.60,77234,5,Ghi chu 712
Vat tu 713,Bu long - Oc vit,cuon,96.62,82287,5,Ghi chu 713
Vat tu 714,Ong thep,met,54.72,58034,5,Ghi chu 714
Vat tu 715,Vat tu tieu hao,met,108.91,67394,5,Ghi chu 715
Vat tu 716,Bu long - Oc vit,tan,193.16,71904,5,Ghi chu 716
Vat tu 717,Vat tu tieu hao,kg,246.18,82733,5,Ghi chu 717
Vat tu 718,Thep goc,cai,112.32,78235,5,Ghi chu 718
Vat tu 719,Thep hop,cai,103.37,57458,5,Ghi chu 719
Vat tu 720,Vat tu tieu hao,kg,277.60,73574,5,Ghi chu 720
Vat tu 721,Tam thep,tam,140.25,81198,5,Ghi chu 721
Vat tu 722,Tam thep,cuon,230.38,52470,5,Ghi chu 722
Vat tu 723,Tam thep,thung,317.36,66924,5,Ghi chu 723
Vat tu 724,Thep goc,kg,99.74,80709,5,Ghi chu 724
Vat tu 725,Dam thep,cuon,268.90,70749,5,Ghi chu 725
Vat tu 726,Ong thep,kg,105.19,65197,5,Ghi chu 726
Vat tu 727,Ong thep,cuon,173.75,60686,5,Ghi chu 727
Vat tu 728,Thep hop,thung,319.91,79920,5,Ghi chu 728
Vat tu 729,Thep goc,kg,162.54,82489,5,Ghi chu 729
Vat tu 730,Thep hinh,thung,46.60,52226,5,Ghi chu 730
Vat tu 731,Tam thep,cai,8.37,53260,5,Ghi chu 731
Vat tu 732,Thep hop,tan,144.13,55469,5,Ghi chu 732
Vat tu 733,Ong thep,kg,184.10,73755,5,Ghi chu 733
Vat tu 734,Thep goc,kg,11.22,61320,5,Ghi chu 734
Vat tu 735,Ong thep,met,198.48,57793,5,Ghi chu 735
Vat tu 736,Thep hop,thung,256.98,66969,5,Ghi chu 736
Vat tu 737,Bu long - Oc vit,tam,226.56,61356,5,Ghi chu 737
Vat tu 738,Thep goc,thung,212.29,59929,5,Ghi chu 738
Vat tu 739,Thep hop,tan,229.27,69295,5,Ghi chu 739
Vat tu 740,Thep hinh,met,18.38,70041,5,Ghi chu 740
Vat tu 741,Thep hinh,kg,259.57,71460,5,Ghi chu 741
Vat tu 742,Bu long - Oc vit,tam,315.03,60170,5,Ghi chu 742
Vat tu 743,Vat tu tieu hao,met,305.92,61663,5,Ghi chu 743
Vat tu 744,Ong thep,thung,292.79,72231,5,Ghi chu 744
Vat tu 745,Bu long - Oc vit,tam,84.30,57401,5,Ghi chu 745
Vat tu 746,Ong thep,cai,158.42,67855,5,Ghi chu 746
Vat tu 747,Thep hinh,met,189.77,64939,5,Ghi chu 747
Vat tu 748,Bu long - Oc vit,cuon,40.78,51025,5,Ghi chu 748
Vat tu 749,Dam thep,met,109.42,61347,5,Ghi chu 749
Vat tu 750,Vat tu tieu hao,kg,132.07,80779,5,Ghi chu 750
Vat tu 751,Vat tu tieu hao,tan,87.61,74656,5,Ghi chu 751
Vat tu 752,Vat tu tieu hao,tan,235.57,58397,5,Ghi chu 752
Vat tu 753,Dam thep,cai,118.85,64078,5,Ghi chu 753
Vat tu 754,Dam thep,tam,130.36,80612,5,Ghi chu 754
Vat tu 755,Tam thep,cai,279.26,76900,5,Ghi chu 755
Vat tu 756,Tam thep,tam,57.30,64429,5,Ghi chu 756
Vat tu 757,Dam thep,thung,83.98,53197,5,Ghi chu 757
Vat tu 758,Thep hop,thung,227.73,69013,5,Ghi chu 758
Vat tu 759,Vat tu tieu hao,kg,102.06,51013,5,Ghi chu 759
Vat tu 760,Tam thep,tan,127.71,50863,5,Ghi chu 760
Vat tu 761,Thep goc,tan,19.59,66678,5,Ghi chu 761
Vat tu 762,Thep hop,met,167.63,80621,5,Ghi chu 762
Vat tu 763,Dam thep,cai,241.54,70438,5,Ghi chu 763
Vat tu 764,Vat tu tieu hao,kg,139.10,78734,5,Ghi chu 764
Vat tu 765,Thep hop,met,128.44,62994,5,Ghi chu 765
Vat tu 766,Thep hop,cuon,152.74,81663,5,Ghi chu 766
